epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9566,3.54196,23.2835,0.87176,0.01412,0.34653,0.00724,0.0013,3.46235,350.622,0.71666,0.000619048,0.000619048,0.000619048
2,45.0279,3.57323,2.52482,0.7835,0.00646,0.29703,0.00249,0.0006,3.29897,1479.87,0.73027,0.00127299,0.00127299,0.00127299
3,65.188,3.5833,1.9772,0.8048,0.15727,0.12871,0.05246,0.01301,3.49723,4.94424,0.75466,0.00191372,0.00191372,0.00191372
4,85.253,3.48195,1.70845,0.7633,0.00606,0.06931,0.00066,0.00013,4.06725,152.739,0.77736,0.0019406,0.0019406,0.0019406
5,105.212,3.42626,1.6202,0.75418,0.00337,0.0099,2e-05,0,5.12873,40.0747,0.85037,0.0019208,0.0019208,0.0019208
6,124.687,3.35693,1.58962,0.74918,0.05896,0.05941,0.00591,0.00116,3.63989,13.8234,0.80584,0.001901,0.001901,0.001901
7,146.203,3.28488,1.52645,0.7683,0.56597,0.34653,0.28845,0.06179,3.43445,2.28778,0.7435,0.0018812,0.0018812,0.0018812
8,165.875,3.37286,1.50026,0.76985,0.11985,0.06931,0.02752,0.00649,3.83387,4.39533,0.89635,0.0018614,0.0018614,0.0018614
9,186.656,3.28549,1.42744,0.75867,0.43693,0.28713,0.20531,0.06441,3.23763,2.38301,0.73193,0.0018416,0.0018416,0.0018416
10,206.325,3.12744,1.35655,0.7548,0.45107,0.38614,0.26649,0.06457,3.33433,1.6945,0.70033,0.0018218,0.0018218,0.0018218
11,227.441,3.09108,1.33588,0.73731,0.33971,0.20887,0.1227,0.02938,3.7099,1.89216,0.73737,0.001802,0.001802,0.001802
12,247.227,3.08886,1.29398,0.74253,0.81992,0.11881,0.12113,0.0444,4.00125,2.00567,0.81564,0.0017822,0.0017822,0.0017822
13,267.603,3.09979,1.27231,0.7372,0.65228,0.51485,0.51897,0.16373,2.85492,1.29807,0.69519,0.0017624,0.0017624,0.0017624
14,287.568,3.10459,1.29974,0.73511,0.7383,0.64356,0.59124,0.14861,3.09213,1.23764,0.70302,0.0017426,0.0017426,0.0017426
15,306.928,2.97017,1.24944,0.73316,0.42525,0.38614,0.26261,0.04881,3.61096,1.57014,0.72976,0.0017228,0.0017228,0.0017228
16,326.684,3.22348,1.31276,0.73939,0.66747,0.47699,0.49975,0.1439,3.08705,1.27792,0.71619,0.001703,0.001703,0.001703
17,346.012,2.97104,1.19206,0.72904,0.80158,0.68001,0.69125,0.17591,2.85337,1.23296,0.67763,0.0016832,0.0016832,0.0016832
18,365.987,2.91701,1.16284,0.72352,0.77506,0.61408,0.62839,0.24235,2.63659,1.23572,0.69407,0.0016634,0.0016634,0.0016634
19,386.494,3.04742,1.24786,0.72697,0.57157,0.56436,0.48174,0.13131,3.09489,1.22603,0.68593,0.0016436,0.0016436,0.0016436
20,410.155,3.00851,1.21267,0.71158,0.68654,0.47525,0.42474,0.11708,3.12415,1.45095,0.70244,0.0016238,0.0016238,0.0016238
21,433.805,2.85823,1.19513,0.7142,0.64475,0.58416,0.57022,0.20285,2.68464,1.28426,0.68691,0.001604,0.001604,0.001604
22,457.102,2.96689,1.17095,0.74471,0.85419,0.58008,0.70127,0.24267,2.65658,1.02944,0.68717,0.0015842,0.0015842,0.0015842
23,477.125,2.88324,1.17912,0.71021,0.50933,0.44554,0.41497,0.07966,3.40188,1.46593,0.70626,0.0015644,0.0015644,0.0015644
24,497.103,2.78781,1.04117,0.72897,0.71176,0.51485,0.54181,0.16387,2.85376,1.40065,0.68029,0.0015446,0.0015446,0.0015446
25,516.699,2.82316,1.06124,0.72806,0.7229,0.59409,0.65397,0.15483,2.95184,1.40911,0.69513,0.0015248,0.0015248,0.0015248
26,536.061,2.81902,1.08487,0.74423,0.77473,0.63366,0.61909,0.16877,2.90829,1.20303,0.69265,0.001505,0.001505,0.001505
27,555.676,2.77344,1.00118,0.70922,0.73149,0.59341,0.59506,0.19175,2.8726,1.16708,0.69571,0.0014852,0.0014852,0.0014852
28,575.395,2.76441,1.0341,0.7001,0.68461,0.6018,0.58915,0.19126,2.86797,1.11027,0.68524,0.0014654,0.0014654,0.0014654
29,594.883,2.70614,0.9772,0.70799,0.69506,0.64356,0.61764,0.22855,2.57538,1.10056,0.69317,0.0014456,0.0014456,0.0014456
30,613.723,2.85418,1.01949,0.72865,0.58261,0.46535,0.43909,0.13762,3.10095,1.29546,0.70929,0.0014258,0.0014258,0.0014258
31,632.654,2.84907,1.05071,0.71482,0.7644,0.61386,0.64239,0.21673,2.63669,1.07992,0.68834,0.001406,0.001406,0.001406
32,651.564,2.85154,0.99915,0.72,0.78626,0.61918,0.59624,0.18034,2.84681,1.07471,0.68949,0.0013862,0.0013862,0.0013862
33,669.931,2.80305,1.01856,0.70421,0.82512,0.60732,0.65837,0.239,2.60072,1.09655,0.68513,0.0013664,0.0013664,0.0013664
34,689.776,2.81115,1.00036,0.70869,0.80262,0.67327,0.70335,0.23346,2.68822,0.96864,0.67174,0.0013466,0.0013466,0.0013466
35,709.324,2.81147,1.04801,0.69997,0.84317,0.69202,0.68531,0.24495,2.6325,1.138,0.68704,0.0013268,0.0013268,0.0013268
36,729.278,2.70199,1.00261,0.71943,0.85804,0.70297,0.7223,0.26127,2.65488,1.0673,0.70662,0.001307,0.001307,0.001307
37,749.259,2.70304,1.02364,0.71042,0.84752,0.71287,0.72238,0.28186,2.51851,1.21816,0.68911,0.0012872,0.0012872,0.0012872
38,769.036,2.69766,1.04625,0.71329,0.72932,0.64027,0.66508,0.25711,2.60245,1.26964,0.70226,0.0012674,0.0012674,0.0012674
39,789.07,2.65179,1.02224,0.71647,0.79263,0.64356,0.68175,0.2193,2.74433,1.13541,0.69389,0.0012476,0.0012476,0.0012476
40,807.896,2.6413,0.96554,0.70965,0.74494,0.65347,0.65298,0.20354,2.84231,1.20503,0.71523,0.0012278,0.0012278,0.0012278
41,827.274,2.7217,0.99461,0.70187,0.71707,0.58416,0.63011,0.20951,2.83228,1.11056,0.68125,0.001208,0.001208,0.001208
42,846.251,2.70571,0.99194,0.71486,0.79552,0.66337,0.69483,0.22438,2.67291,1.09552,0.68918,0.0011882,0.0011882,0.0011882
43,865.637,2.60728,0.94584,0.72264,0.84698,0.70297,0.73951,0.26017,2.62754,0.97821,0.68363,0.0011684,0.0011684,0.0011684
44,884.94,2.57751,0.91595,0.70024,0.76446,0.74257,0.74519,0.30704,2.44815,0.97209,0.68418,0.0011486,0.0011486,0.0011486
45,903.363,2.70065,0.95938,0.70291,0.85026,0.66337,0.74742,0.21506,2.77554,1.00954,0.68554,0.0011288,0.0011288,0.0011288
46,922.294,2.75586,0.91749,0.706,0.81627,0.65987,0.67189,0.26113,2.60844,0.99455,0.68307,0.001109,0.001109,0.001109
47,940.834,2.63325,0.90593,0.70246,0.82164,0.75248,0.7756,0.30555,2.40192,0.9986,0.68518,0.0010892,0.0010892,0.0010892
48,959.662,2.64749,0.89283,0.69677,0.8363,0.72277,0.7197,0.2702,2.52219,0.98276,0.68228,0.0010694,0.0010694,0.0010694
49,978.58,2.63495,0.92025,0.70975,0.73779,0.75219,0.73123,0.28277,2.4336,1.19339,0.68187,0.0010496,0.0010496,0.0010496
50,997.067,2.64946,0.90759,0.70792,0.80264,0.72481,0.72984,0.26898,2.54694,0.9256,0.67886,0.0010298,0.0010298,0.0010298
51,1016.98,2.59834,0.85843,0.68798,0.84193,0.71287,0.75282,0.27775,2.5123,0.96679,0.68042,0.00101,0.00101,0.00101
52,1035.47,2.61125,0.87726,0.70656,0.91719,0.77228,0.80411,0.28524,2.51977,0.89198,0.68,0.0009902,0.0009902,0.0009902
53,1054.51,2.53399,0.88557,0.71291,0.77658,0.77228,0.74852,0.28092,2.46342,0.98966,0.69011,0.0009704,0.0009704,0.0009704
54,1073.56,2.66409,0.88428,0.70522,0.83831,0.77228,0.77427,0.29768,2.40586,0.97444,0.68985,0.0009506,0.0009506,0.0009506
55,1092.45,2.55862,0.89236,0.70887,0.79381,0.73267,0.73389,0.29497,2.38163,0.90197,0.68523,0.0009308,0.0009308,0.0009308
56,1111.41,2.49462,0.83133,0.7132,0.90215,0.73027,0.80355,0.31996,2.31937,0.89119,0.68408,0.000911,0.000911,0.000911
57,1129.98,2.51983,0.87098,0.69818,0.87574,0.76758,0.75796,0.26634,2.52907,0.92438,0.68209,0.0008912,0.0008912,0.0008912
58,1149.01,2.65061,0.91704,0.71244,0.86075,0.72277,0.76309,0.31137,2.39826,0.94681,0.67816,0.0008714,0.0008714,0.0008714
59,1167.68,2.561,0.90775,0.70938,0.85424,0.81239,0.82057,0.30449,2.42178,0.94583,0.67133,0.0008516,0.0008516,0.0008516
60,1186.22,2.51687,0.84043,0.69947,0.86213,0.77228,0.77669,0.28206,2.46862,0.92302,0.68223,0.0008318,0.0008318,0.0008318
61,1205.12,2.46193,0.82953,0.68855,0.81501,0.77228,0.80413,0.31351,2.35727,0.93028,0.67999,0.000812,0.000812,0.000812
62,1223.76,2.48184,0.83952,0.70108,0.8569,0.77078,0.77946,0.27306,2.53915,0.9521,0.68182,0.0007922,0.0007922,0.0007922
63,1242.99,2.49791,0.8468,0.69809,0.88674,0.83168,0.83651,0.32317,2.35129,0.91265,0.67815,0.0007724,0.0007724,0.0007724
64,1262.56,2.37784,0.82482,0.69618,0.87929,0.79335,0.80767,0.32141,2.38064,0.86453,0.67484,0.0007526,0.0007526,0.0007526
65,1281.6,2.44513,0.84265,0.71043,0.84416,0.75089,0.784,0.28514,2.37818,0.88547,0.67554,0.0007328,0.0007328,0.0007328
66,1300.26,2.47793,0.84478,0.68836,0.80184,0.76123,0.79331,0.29448,2.43458,0.85725,0.67701,0.000713,0.000713,0.000713
67,1318.63,2.45627,0.79318,0.71512,0.84624,0.76238,0.80337,0.32296,2.36331,0.86808,0.67825,0.0006932,0.0006932,0.0006932
68,1337.59,2.49408,0.78746,0.69392,0.76473,0.76238,0.77796,0.3404,2.33411,0.89998,0.68191,0.0006734,0.0006734,0.0006734
69,1356.19,2.50645,0.81045,0.69787,0.83724,0.78218,0.7713,0.30175,2.43124,0.91446,0.68417,0.0006536,0.0006536,0.0006536
70,1375.56,2.45483,0.82651,0.6955,0.7744,0.74773,0.75317,0.26062,2.61219,0.94771,0.68898,0.0006338,0.0006338,0.0006338
71,1395,2.43941,0.79846,0.68489,0.82786,0.79208,0.80814,0.29743,2.50403,0.87637,0.68049,0.000614,0.000614,0.000614
72,1413.82,2.45711,0.77501,0.7069,0.87852,0.76238,0.79734,0.31707,2.4299,0.86731,0.67677,0.0005942,0.0005942,0.0005942
73,1432.91,2.37367,0.76536,0.70684,0.88419,0.79208,0.81574,0.31371,2.37441,0.83339,0.67413,0.0005744,0.0005744,0.0005744
74,1451.4,2.50141,0.80338,0.69338,0.8771,0.80198,0.82281,0.29649,2.48569,0.86831,0.68505,0.0005546,0.0005546,0.0005546
75,1471.09,2.41452,0.77525,0.68738,0.88582,0.76812,0.81466,0.31684,2.42257,0.86658,0.67854,0.0005348,0.0005348,0.0005348
76,1490.19,2.38805,0.79415,0.69738,0.86494,0.83168,0.85153,0.33103,2.37712,0.83567,0.68023,0.000515,0.000515,0.000515
77,1508.8,2.34083,0.75161,0.68892,0.91013,0.80214,0.84139,0.32921,2.4049,0.84298,0.67918,0.0004952,0.0004952,0.0004952
78,1527.42,2.40186,0.76049,0.6977,0.88364,0.80198,0.7854,0.34205,2.30088,0.82042,0.67841,0.0004754,0.0004754,0.0004754
79,1546.02,2.34032,0.75184,0.69697,0.88944,0.79657,0.8231,0.35679,2.26579,0.82377,0.67863,0.0004556,0.0004556,0.0004556
80,1564.83,2.35408,0.74128,0.68426,0.91408,0.80198,0.84588,0.33621,2.36001,0.87301,0.67665,0.0004358,0.0004358,0.0004358
81,1583.39,2.38042,0.73276,0.68493,0.85457,0.79208,0.81129,0.33727,2.28667,0.84505,0.67672,0.000416,0.000416,0.000416
82,1602.31,2.32666,0.73412,0.70504,0.89591,0.78218,0.8402,0.35957,2.28546,0.83319,0.6779,0.0003962,0.0003962,0.0003962
83,1620.94,2.44075,0.7577,0.70076,0.88714,0.7783,0.81072,0.35529,2.32322,0.82233,0.67922,0.0003764,0.0003764,0.0003764
84,1639.39,2.43696,0.78562,0.69297,0.88943,0.79647,0.83267,0.33834,2.32646,0.82869,0.67743,0.0003566,0.0003566,0.0003566
85,1658.19,2.29779,0.71807,0.70151,0.9229,0.82968,0.85017,0.33393,2.34102,0.83761,0.67872,0.0003368,0.0003368,0.0003368
86,1676.73,2.26454,0.7084,0.6981,0.87926,0.79208,0.8044,0.30715,2.45538,0.8787,0.682,0.000317,0.000317,0.000317
87,1695.98,2.28457,0.69183,0.69861,0.91173,0.81814,0.85854,0.29949,2.46877,0.88976,0.6858,0.0002972,0.0002972,0.0002972
88,1715.02,2.24717,0.69258,0.68873,0.90787,0.78057,0.81695,0.2998,2.51666,0.89618,0.68762,0.0002774,0.0002774,0.0002774
89,1733.64,2.31138,0.73034,0.69461,0.88945,0.81188,0.82776,0.34986,2.29433,0.84308,0.67898,0.0002576,0.0002576,0.0002576
90,1752.67,2.22614,0.69581,0.70817,0.87022,0.80198,0.82186,0.34035,2.32987,0.85935,0.67814,0.0002378,0.0002378,0.0002378
91,1770.77,2.24282,0.78862,0.72182,0.91064,0.80726,0.85102,0.35434,2.26061,0.8302,0.68066,0.000218,0.000218,0.000218
92,1789.15,2.13652,0.76099,0.71885,0.9188,0.78422,0.82926,0.34632,2.31666,0.83719,0.68117,0.0001982,0.0001982,0.0001982
93,1807.22,2.11748,0.71859,0.71479,0.89136,0.78218,0.80933,0.34889,2.27759,0.82678,0.67798,0.0001784,0.0001784,0.0001784
94,1825.74,2.16599,0.70199,0.7306,0.87726,0.77842,0.79784,0.34427,2.29404,0.83199,0.67891,0.0001586,0.0001586,0.0001586
95,1844.67,2.09789,0.67403,0.71659,0.89008,0.80177,0.83238,0.31396,2.43169,0.87208,0.68058,0.0001388,0.0001388,0.0001388
96,1862.84,1.99776,0.66736,0.71327,0.88434,0.79208,0.82143,0.35566,2.29288,0.83274,0.67707,0.000119,0.000119,0.000119
97,1881.87,2.0686,0.69518,0.71286,0.88087,0.82178,0.83597,0.35185,2.30392,0.82661,0.6762,9.92e-05,9.92e-05,9.92e-05
98,1900.1,2.05906,0.65985,0.69793,0.87476,0.81188,0.82732,0.34728,2.3551,0.83497,0.67744,7.94e-05,7.94e-05,7.94e-05
99,1918.55,1.98615,0.64151,0.71651,0.92462,0.81188,0.85326,0.33358,2.36683,0.84548,0.67781,5.96e-05,5.96e-05,5.96e-05
100,1936.89,1.98529,0.63892,0.71679,0.92141,0.81257,0.8539,0.33411,2.3468,0.84488,0.67683,3.98e-05,3.98e-05,3.98e-05
